"","BothControl1","BothControl2","BothControl3","AdultIUGR1","AdultIUGR2","AdultIUGR3","AdultLact1","AdultLact2","AdultLact3","OffIUGR1","OffIUGR2","OffIUGR3","OffLact1","OffLact2","OffLact3"
"Adi1",6.64656595664354,7.62245212922636,7.24019985585862,6.34792565572141,6.43609527859278,6.49699493851728,8.72697196741893,8.19764920681014,8.85700542155795,8.41470497842548,8.29976363086389,9.55136477386343,6.41031858934115,6.90514231138868,6.67715952427357
"Fcna",7.20281449945711,7.31559316701567,7.60415335590285,6.95298597375592,6.78383630016694,6.68103700481647,7.05911619902226,6.89819344057976,6.8565237660234,6.97748559643025,7.42392549655504,7.11210753183825,8.04166439575642,7.48873736301006,8.01826551911785
"Fmn1",5.87423162792267,5.68153002465637,6.04404550230949,5.55510269813752,4.98997982979598,5.38812170825377,5.36145553895621,5.51891529262307,5.27600524049487,5.40111020994663,5.45797383172548,6.27438327676729,6.36711394642532,6.54216938007217,6.50303510240893
"Hspa8",5.5643052242784,6.43252834135476,6.15678606440305,5.33825844626552,4.78450886477808,5.3705534854008,5.39418345078688,5.8790376217722,6.37668651364348,7.41718869334549,6.77454658102765,6.17417592707232,6.7516596543706,7.437179366779,7.67563996839816
"Smad2",6.34675212826075,5.83473280646356,6.11829417888486,6.80203812166572,6.85042523438675,6.24574909149793,6.39113901592424,5.99070072201863,6.5980427590608,5.62063209870347,5.77598487244384,6.3831626857746,5.42850822816341,5.30461850496595,5.12198066042308
"Asns",4.48774894289713,4.02242409064111,4.5993798287127,2.70197978578901,4.90935308096665,2.76209613478386,2.47767089511506,3.23895368392653,2.71552330609664,3.74908900070652,3.84793998419154,3.71622662268643,6.35538468943006,6.04652974942103,5.43045173255034
"C1s1",11.1912394599842,11.5316707741698,11.5984806458684,11.0203830288864,11.3072666194039,11.0262845895512,11.1792849304537,11.5641172302209,11.5725996340606,11.0812979040689,10.6407366502711,10.4547628315902,11.7646355288476,11.7543760355828,11.6634467028953
"Slc4a4",8.41685657121558,8.31572495502123,8.54813347486703,8.26454270124786,8.24250125237945,8.41892138435169,8.04337071050219,8.45342908183765,8.28681371528961,8.41111773217276,8.25391666475878,8.75729444844305,7.39492659126033,7.2295469567378,7.69626605252994
"Wfdc2",6.95098123736153,6.62794695761563,6.58041997939187,7.69261362319757,6.96484230648361,6.9866383104559,7.59001586226247,6.76360637138657,7.80212449450374,6.23486202344213,6.30362690999064,6.45516976418928,7.76048952828863,7.41828077077807,8.30734680584006
"Iqcg",5.63159019599507,5.2437256517544,5.3624799621306,5.70504110273364,5.11483169048436,5.52681078056635,5.2437256517544,5.20528119719105,4.65708439229612,5.39274900187517,5.47779768345315,5.73148248810096,4.11180941193869,4.32826206995289,4.70849607743319
"Cda",7.84199952892086,7.85521097619701,7.89392164650283,8.37559870425542,7.6263687889489,8.33780873562365,8.51622240267614,7.93662870001622,7.90457071966728,7.84199952892086,7.92270597850475,7.5288219539061,6.74130522311373,6.93809993073679,7.03605978594632
"Steap2",4.7819441800584,4.78769529666423,4.46988354344949,5.76944765040615,4.87891511522503,5.2629477064623,5.02964931745082,4.4674163605383,5.09007359223421,4.32132634201988,4.90527711365228,4.91013300829611,6.12408599313397,5.83989208115341,6.79601234056171
"Mmd2",6.06735599647165,6.34437897416954,6.46486890958688,6.52668923232454,6.64587822715241,6.02223112443105,6.13561870974932,5.56276528538784,5.74521279566234,6.00761187261135,5.73681661731366,6.09848651012121,7.52489730383403,6.67648574459922,7.24813942648508
